artist_name,track_name,track_id,track_popularity,artist_id,artist_popularity,artist_genres,artist_followers
Drake,Pipe Down,11pEKMLmavDu8fxOB5QjbQ,74,3TVXtAsR1Inumwj472S9r4,96,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap']",83173873
Gracie Abrams,Feels Like,35IcAVSMsU9qzHfpPbvC8A,77,4tuJ0bMpJh08umKkEXKUI5,72,['alt z'],1422464
24kGoldn,Mood (feat. iann dior),4jPy3l0RUwlUI9T5XHBW2m,82,6fWVd57NKTalqvmjRd2t8Z,68,"['cali rap', 'pop rap']",2138890
Ashe,Till Forever Falls Apart,4x5YzxjrF9wvIIXJV7TveC,78,6P5NO5hzJbuOqSdyPB7SJM,68,['alt z'],1525994
Olivia Rodrigo,enough for you,2TOzTqQXNmR2zDJXihjZ2e,78,1McMsnEElThX1knmY4oliG,87,['pop'],31086285
J. Cole,p r i d e . i s . t h e . d e v i l (with Lil Baby),5W8jRrZ6tWrTrqnKRtIQBf,76,6l3HvQ5sa6mXTsMTB19rO5,85,"['conscious hip hop', 'hip hop', 'north carolina hip hop', 'rap']",22256849
Taylor Swift,I Knew You Were Trouble (Taylor's Version),6AtZLIzUINvExIUy4QhdjP,80,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
Roddy Doyle Trio,Sleigh Ride,3CwE9ExeHCA9ho6hy1lrNZ,75,2NpfQuA1kHiGx9LHgDx4p3,57,['christmas instrumental'],416
$uicideboy$,Avalon,19n8izXThARSuQAXrOKNbO,73,1VPmR4DJC1PlOtd0IADAO0,84,"['cloud rap', 'dark trap', 'new orleans rap', 'underground hip hop']",6486691
Baby Keem,trademark usa,15hJmqqEtASVXl6sM7i4UF,74,5SXuuuRpukkTvsLuUknva1,77,"['hip hop', 'rap']",1939858
Hotel Ugly,Stevie Doesn't Wonder,7BgyWwbbybJr2IbQoI1gzH,75,35WVTyRnKAoaGExqgktVyb,73,['modern indie pop'],490403
Kxllswxtch,WASTE,4NgherJDfCXWBZBYheM4jK,80,2VDZoCBGjxbHJbnzSX5nP6,66,"['dark trap', 'oc rap', 'scream rap']",221052
Billie Eilish,Halley's Comet,5XsAal7ZcWg1I5T4NcRjkv,78,6qqNVTkY8uBg9cP3Jd7DAH,87,"['art pop', 'pop']",90084481
Kay Flock,PSA,6T5i0o62ZyfHRRHHihYJ1n,76,2AMeiDbfU2vonrTkpXDKUu,63,"['bronx drill', 'melodic drill', 'new york drill']",694444
PinkPantheress,Break It Off - Bonus,78ul3D77noQsYjSwvwiPU1,76,78rUTD7y6Cy67W1RVzYs7t,76,['bedroom pop'],2768239
Taylor Swift,22 (Taylor's Version),3yII7UwgLF6K5zW3xad3MP,79,06HL4z0CvFAxyc27GXpf02,100,['pop'],96509805
